canonical_sku,po_lines,first_po_date,last_po_date,purchased_units,product_cost,freight_duty,landed_cost_total,max_line_check_delta,case_pack,unit_landed_cost,brand,product_name,asin,status,brand_method
GT-CLEANSE-150,3,2026-03-15,2026-06-17,1000,3590.0,312.0,3902.0,0.0,1,3.902,GlowTheory,GlowTheory Gentle Foaming Cleanser 150ml,B0GTCLN150,Active,mapping
GT-EYE-CREAM,2,2026-04-12,2026-04-23,600,2814.0000000000005,244.79999999999998,3058.8,2.2737367544323206e-13,1,5.098,GlowTheory,GlowTheory Restorative Eye Cream 15ml,B0GTEYECRM,Active,mapping
GT-MASK-CLAY,2,2026-02-10,2026-05-18,400,1692.0000000000002,147.2,1839.2,1.1368683772161603e-13,1,4.598,GlowTheory,GlowTheory Detox Clay Mask 100g,B0GTMSKCLY,Active,mapping
GT-MOIST-50ML,3,2026-02-13,2026-05-08,1600,7648.0,665.6,8313.6,0.0,1,5.196000000000001,GlowTheory,GlowTheory Daily Moisturizer 50ml,B0GTMST50M,Active,mapping
GT-ROLLER-JADE,2,2026-04-10,2026-04-18,800,1984.0,172.8,2156.8,0.0,1,2.696,GlowTheory,GlowTheory Jade Facial Roller,B0GTRLRJDE,Active,mapping
GT-SERUM-HA,3,2026-02-25,2026-06-27,1400,5278.0,459.2,5737.2,0.0,1,4.098,GlowTheory,GlowTheory Hyaluronic Acid Serum 30ml,B0GTSRMHYA,Active,mapping
GT-SERUM-VITC,3,2026-03-19,2026-04-01,900,3978.0,345.6,4323.6,0.0,1,4.804,GlowTheory,GlowTheory Vitamin C Serum 30ml,B0GTSRMVTC,Active,mapping
GT-SPF30-TINT,2,2026-05-26,2026-06-02,900,5220.0,453.59999999999997,5673.6,0.0,1,6.304,GlowTheory,GlowTheory Tinted SPF 30 Sunscreen 50ml,B0GTSPF30T,Active,mapping
PF-BCAA-LEMON,3,2026-03-05,2026-04-28,1000,6530.0,568.0,7098.0,0.0,1,7.098,Peak Fuel,Peak Fuel BCAA Lemon Lime 40srv,B0PFBCALEM,Active,mapping
PF-CREATINE-300,3,2026-01-30,2026-04-30,1400,7210.0,627.2,7837.200000000001,0.0,1,5.598000000000001,Peak Fuel,Peak Fuel Creatine Monohydrate 300g,B0PFCRE300,Active,mapping
PF-ELECTRO-CIT,3,2026-03-19,2026-05-14,1300,7657.0,665.6,8322.6,0.0,1,6.402,Peak Fuel,Peak Fuel Electrolyte Powder Citrus 60srv,B0PFELECIT,Active,mapping
PF-PREWKT-BERRY,3,2026-02-07,2026-06-14,1000,8190.0,712.0,8902.0,0.0,1,8.902,Peak Fuel,Peak Fuel Pre-Workout Mixed Berry 30srv,B0PFPREBRY,Active,mapping
PF-SHAKER-28,2,2026-03-03,2026-05-13,800,1696.0,147.2,1843.2,0.0,1,2.3040000000000003,Peak Fuel,Peak Fuel Shaker Bottle 28oz,B0PFSHK28Z,Active,mapping
PF-VEGAN-CHOC,2,2026-01-12,2026-04-14,1200,17448.0,1516.8000000000002,18964.800000000003,0.0,1,15.804000000000002,Peak Fuel,Peak Fuel Vegan Protein Chocolate 2lb,B0PFVGNCHC,Active,mapping
PF-WHEY-CHOC,3,2026-03-09,2026-06-01,800,10448.0,908.8,11356.8,0.0,1,14.196,Peak Fuel,Peak Fuel Whey Protein Chocolate 2lb,B0PF4W2CHC,Active,mapping
PF-WHEY-VAN,3,2026-02-04,2026-05-11,1900,24814.0,2158.4,26972.4,0.0,1,14.196000000000002,Peak Fuel,Peak Fuel Whey Protein Vanilla 2lb,B0PF4W2VAN,Active,mapping
PH-BED-MED-GRY,3,2026-03-09,2026-05-17,1300,23556.0,2048.8,25604.8,0.0,1,19.695999999999998,PawHaus,PawHaus Orthopedic Dog Bed Medium Grey,B0PHBEDMGR,Active,mapping
PH-BRUSH-DBL,1,2026-03-11,2026-03-11,400,956.0,83.2,1039.2,0.0,1,2.5980000000000003,PawHaus,PawHaus Double-Sided Grooming Brush,B0GTRLRJDE,Active,mapping
PH-CHEW-BULLY-6,2,2026-03-20,2026-06-11,900,9441.0,820.8,10261.8,0.0,1,11.402,PawHaus,PawHaus Bully Stick Chews 6in 8pk,B0PHBLY6PK,Active,mapping
PH-DENTAL-30CT,3,2026-03-12,2026-05-16,1188,7978.41,693.79,8672.199999999999,4.547473508864641e-13,12,7.299831649831649,PawHaus,PawHaus Dental Chews 30ct,B0PHDNT30C,Active,mapping
PH-SHAMPOO-OAT,3,2026-03-01,2026-05-12,2100,7350.0,638.4,7988.4,0.0,1,3.804,PawHaus,PawHaus Oatmeal Dog Shampoo 16oz,B0PHSHMOAT,Active,mapping
PH-TREAT-SALMON,2,2026-04-04,2026-04-30,500,2850.0,248.0,3098.0,0.0,1,6.196,PawHaus,PawHaus Salmon Training Treats 16oz,B0PHTRTSLM,Active,mapping
