po-number,po-date,vendor,sku,description,qty,unit-cost,freight-duty-alloc,total-cost
PO-2026-0185,2026-05-04,Companion Goods Co,PH-DENTAL-30CT,PawHaus Dental Chews 30ct - CASE OF 12,50,80.59,350.40,4379.90
PO-2026-0141,2026-01-30,NutraBlend Manufacturing,PF-CREATINE-300,Peak Fuel Creatine Monohydrate 300g,600,5.15,268.80,3358.80
PO-2026-0184,03/12/2026,Companion Goods Co,PH-DENTAL-30CT,PawHaus Dental Chews 30ct - CASE OF 12,33,80.59,231.26,2890.73
PO-2026-0133,03/09/2026,NutraBlend Manufacturing,PF-WHEY-CHOC,Peak Fuel Whey Protein Chocolate 2lb,300,13.06,340.80,4258.80
PO-2026-0148,04/14/2026,NutraBlend Manufacturing,PF-VEGAN-CHOC,Peak Fuel Vegan Protein Chocolate 2lb,400,14.54,505.60,6321.60
PO-2026-0155,06/27/2026,Coastal Labs Cosmetics,GT-SERUM-HA,GlowTheory Hyaluronic Acid Serum 30ml,500,3.77,164.00,2049.00
PO-2026-0134,02/04/2026,NutraBlend Manufacturing,PF-WHEY-VAN,Peak Fuel Whey Protein Vanilla 2lb,800,13.06,908.80,11356.80
PO-2026-0153,04/01/2026,Coastal Labs Cosmetics,GT-SERUM-VITC,GlowTheory Vitamin C Serum 30ml,500,4.42,192.00,2402.00
PO-2026-0183,2026-07-02,Companion Goods Co,PH-BRUSH-DBL,PawHaus Double-Sided Grooming Brush,200,2.39,41.60,519.60
PO-2026-0144,2026-03-05,NutraBlend Manufacturing,PF-BCAA-LEMON,Peak Fuel BCAA Lemon Lime 40srv,500,6.53,284.00,3549.00
PO-2026-0156,2026-04-13,Coastal Labs Cosmetics,GT-SERUM-HA,GlowTheory Hyaluronic Acid Serum 30ml,400,3.77,131.20,1639.20
PO-2026-0142,01/30/2026,NutraBlend Manufacturing,PF-CREATINE-300,Peak Fuel Creatine Monohydrate 300g,600,5.15,268.80,3358.80
PO-2026-0163,05/23/2026,Coastal Labs Cosmetics,GT-CLEANSE-150,GlowTheory Gentle Foaming Cleanser 150ml,400,3.59,124.80,1560.80
PO-2026-0147,2026-05-13,NutraBlend Manufacturing,PF-SHAKER-28,Peak Fuel Shaker Bottle 28oz,500,2.12,92.00,1152.00
PO-2026-0149,2026-01-12,NutraBlend Manufacturing,PF-VEGAN-CHOC,Peak Fuel Vegan Protein Chocolate 2lb,800,14.54,1011.20,12643.20
PO-2026-0140,04/30/2026,NutraBlend Manufacturing,PF-CREATINE-300,Peak Fuel Creatine Monohydrate 300g,200,5.15,89.60,1119.60
PO-2026-0159,2026-02-13,Coastal Labs Cosmetics,GT-MOIST-50ML,GlowTheory Daily Moisturizer 50ml,500,4.78,208.00,2598.00
PO-2026-0131,06/01/2026,NutraBlend Manufacturing,PF-WHEY-CHOC,Peak Fuel Whey Protein Chocolate 2lb,200,13.06,227.20,2839.20
PO-2026-0174,04/30/2026,Companion Goods Co,PH-TREAT-SALMON,PawHaus Salmon Training Treats 16oz,300,5.70,148.80,1858.80
PO-2026-0179,05/01/2026,Companion Goods Co,PH-BED-MED-GRY,PawHaus Orthopedic Dog Bed Medium Grey,300,18.12,472.80,5908.80
PO-2026-0136,05/11/2026,NutraBlend Manufacturing,PF-WHEY-VAN,Peak Fuel Whey Protein Vanilla 2lb,600,13.06,681.60,8517.60
PO-2026-0169,2026-05-26,Coastal Labs Cosmetics,GT-SPF30-TINT,GlowTheory Tinted SPF 30 Sunscreen 50ml,600,5.80,302.40,3782.40
PO-2026-0150,04/05/2026,NutraBlend Manufacturing,PF-ELECTRO-CIT,Peak Fuel Electrolyte Powder Citrus 60srv,600,5.89,307.20,3841.20
PO-2026-0176,04/30/2026,Companion Goods Co,PH-SHAMPOO-OAT,PawHaus Oatmeal Dog Shampoo 16oz,500,3.50,152.00,1902.00
PO-2026-0154,2026-03-19,Coastal Labs Cosmetics,GT-SERUM-VITC,GlowTheory Vitamin C Serum 30ml,200,4.42,76.80,960.80
PO-2026-0132,2026-03-16,NutraBlend Manufacturing,PF-WHEY-CHOC,Peak Fuel Whey Protein Chocolate 2lb,300,13.06,340.80,4258.80
PO-2026-0181,03/09/2026,Companion Goods Co,PH-BED-MED-GRY,PawHaus Orthopedic Dog Bed Medium Grey,400,18.12,630.40,7878.40
PO-2026-0157,02/25/2026,Coastal Labs Cosmetics,GT-SERUM-HA,GlowTheory Hyaluronic Acid Serum 30ml,500,3.77,164.00,2049.00
PO-2026-0143,03/19/2026,NutraBlend Manufacturing,PF-BCAA-LEMON,Peak Fuel BCAA Lemon Lime 40srv,300,6.53,170.40,2129.40
PO-2026-0175,2026-04-04,Companion Goods Co,PH-TREAT-SALMON,PawHaus Salmon Training Treats 16oz,200,5.70,99.20,1239.20
PO-2026-0170,04/10/2026,Coastal Labs Cosmetics,GT-ROLLER-JADE,GlowTheory Jade Facial Roller,600,2.48,129.60,1617.60
PO-2026-0168,06/02/2026,Coastal Labs Cosmetics,GT-SPF30-TINT,GlowTheory Tinted SPF 30 Sunscreen 50ml,300,5.80,151.20,1891.20
PO-2026-0172,03/20/2026,Companion Goods Co,PH-CHEW-BULLY-6,PawHaus Bully Stick Chews 6in 8pk,400,10.49,364.80,4560.80
PO-2026-0171,2026-04-18,Coastal Labs Cosmetics,GT-ROLLER-JADE,GlowTheory Jade Facial Roller,200,2.48,43.20,539.20
PO-2026-0162,2026-06-17,Coastal Labs Cosmetics,GT-CLEANSE-150,GlowTheory Gentle Foaming Cleanser 150ml,200,3.59,62.40,780.40
PO-2026-0173,2026-06-11,Companion Goods Co,PH-CHEW-BULLY-6,PawHaus Bully Stick Chews 6in 8pk,500,10.49,456.00,5701.00
PO-2026-0166,04/12/2026,Coastal Labs Cosmetics,GT-EYE-CREAM,GlowTheory Restorative Eye Cream 15ml,200,4.69,81.60,1019.60
PO-2026-0154,2026-03-19,Coastal Labs Cosmetics,GT-SERUM-VITC,GlowTheory Vitamin C Serum 30ml,200,4.42,76.80,960.80
PO-2026-0167,2026-04-23,Coastal Labs Cosmetics,GT-EYE-CREAM,GlowTheory Restorative Eye Cream 15ml,400,4.69,163.20,2039.20
PO-2026-0145,04/28/2026,NutraBlend Manufacturing,PF-BCAA-LEMON,Peak Fuel BCAA Lemon Lime 40srv,200,6.53,113.60,1419.60
PO-2026-0180,2026-05-17,Companion Goods Co,PH-BED-MED-GRY,PawHaus Orthopedic Dog Bed Medium Grey,600,18.12,945.60,11817.60
PO-2026-0137,04/20/2026,NutraBlend Manufacturing,PF-PREWKT-BERRY,Peak Fuel Pre-Workout Mixed Berry 30srv,200,8.19,142.40,1780.40
PO-2026-0182,03/11/2026,Companion Goods Co,PH-BRUSH-DBL,PawHaus Double-Sided Grooming Brush,400,2.39,83.20,1039.20
PO-2026-0161,03/15/2026,Coastal Labs Cosmetics,GT-CLEANSE-150,GlowTheory Gentle Foaming Cleanser 150ml,400,3.59,124.80,1560.80
PO-2026-0158,05/08/2026,Coastal Labs Cosmetics,GT-MOIST-50ML,GlowTheory Daily Moisturizer 50ml,500,4.78,208.00,2598.00
PO-2026-0135,2026-03-09,NutraBlend Manufacturing,PF-WHEY-VAN,Peak Fuel Whey Protein Vanilla 2lb,500,13.06,568.00,7098.00
PO-2026-0164,02/10/2026,Coastal Labs Cosmetics,GT-MASK-CLAY,GlowTheory Detox Clay Mask 100g,200,4.23,73.60,919.60
